"";"country";"year";"imports";"exports"
"145";"Austria";2020;183,2963;196,4811
"146";"Austria";2021;223,017;226,74
"147";"Austria";2022;275,4962;277,6469
"148";"Austria";2023;270,3232;283,8542
"149";"Poland";2018;253,008;263,2155
"150";"Poland";2019;263,5534;283,2664
"151";"Poland";2020;249,0402;278,8074
"152";"Poland";2021;313,4724;332,5916
"153";"Poland";2022;401,0029;412,6529
"154";"Poland";2023;388,3448;434,0731
"155";"Portugal";2018;88,1944;89,1437
"156";"Portugal";2019;92,3018;93,271
"157";"Portugal";2020;78,5848;74,2858
"158";"Portugal";2021;95,5478;89,4497
"159";"Portugal";2022;126,0322;120,1985
"160";"Portugal";2023;123,7485;125,9584
"161";"Romania";2018;92,5856;85,6056
"162";"Romania";2019;99,3166;90,1193
"163";"Romania";2020;90,8025;81,3083
"164";"Romania";2021;111,7767;98,0743
"165";"Romania";2022;141,9578;122,9737
"166";"Romania";2023;142,5201;126,997
"167";"Slovenia";2018;35,02647;38,89979
"168";"Slovenia";2019;36,44828;40,62195
"169";"Slovenia";2020;32,37893;36,58248
"170";"Slovenia";2021;40,63249;43,68565
"171";"Slovenia";2022;52,40668;53,69876
"172";"Slovenia";2023;48,78578;52,99466
"173";"Slovakia";2018;84,4536;86,1322
"174";"Slovakia";2019;86,4833;86,7891
"175";"Slovakia";2020;77,9634;79,4798
"176";"Slovakia";2021;92,3659;92,2858
"177";"Slovakia";2022;114,8667;108,9908
"178";"Slovakia";2023;110,6503;112,2888
"179";"Finland";2018;92,739;89,81
"180";"Finland";2019;95,283;95,657
"181";"Finland";2020;85,006;85,188
"182";"Finland";2021;98,872;98,956
"183";"Finland";2022;127,979;121,574
"184";"Finland";2023;114,89;113,728
"185";"Sweden";2018;204,4995;215,0188
"186";"Sweden";2019;208,0329;227,988
"187";"Sweden";2020;189,1656;210,712
"188";"Sweden";2021;225,7627;251,434
"189";"Sweden";2022;281,6775;297,0411
"190";"Sweden";2023;271,9099;296,0249
"191";"United Kingdom";2018;801,91;768,278
"192";"United Kingdom";2019;840,621;805,103
"193";"United Kingdom";2020;687,848;702,262
"194";"United Kingdom";2021;790,619;786,526
"195";"United Kingdom";2022;1060,958;982,578
"196";"United Kingdom";2023;1032,341;993,967
"197";"Belgium";1990;96,9069;99,1392
"198";"Bulgaria";1990;NA;NA
"199";"Denmark";1990;33,6135;39,664
"200";"Germany";1990;NA;NA
